iter	Passed	Remaining
0	86	25723
1	172	25721
2	262	25995
3	347	25703
4	468	27665
5	550	26983
6	634	26549
7	777	28362
8	903	29213
9	1061	30769
10	1197	31455
11	1295	31082
12	1582	34942
13	1721	35176
14	1820	34588
15	1974	35041
16	2080	34626
17	2191	34335
18	2379	35196
19	2524	35342
20	2651	35225
21	2774	35059
22	2899	34921
23	3046	35033
24	3132	34452
25	3231	34056
26	3318	33549
27	3425	33271
28	3564	33311
29	3654	32890
30	3763	32660
31	3858	32317
32	4019	32521
33	4125	32274
34	4210	31875
35	4339	31824
36	4434	31518
37	4539	31297
38	4614	30883
39	4703	30570
40	4827	30497
41	4921	30229
42	5009	29938
43	5158	30011
44	5344	30286
45	5458	30141
46	5565	29958
47	5661	29725
48	5745	29432
49	5862	29314
50	5943	29020
51	6025	28734
52	6121	28528
53	6194	28221
54	6315	28132
55	6450	28105
56	6541	27885
57	6661	27796
58	6739	27531
59	6836	27347
60	6932	27160
61	7006	26896
62	7085	26656
63	7195	26532
64	7284	26336
65	7402	26246
66	7491	26051
67	7572	25834
68	7644	25593
69	7721	25371
70	7797	25150
71	7890	24985
72	7966	24772
73	8075	24662
74	8166	24499
75	8253	24324
76	8335	24141
77	8423	23973
78	8505	23794
79	8596	23639
80	8674	23454
81	8752	23268
82	8825	23072
83	8909	22910
84	8990	22739
85	9064	22555
86	9156	22416
87	9229	22233
88	9315	22084
89	9401	21937
90	9477	21766
91	9578	21655
92	9695	21580
93	9778	21430
94	9868	21295
95	9950	21145
96	10021	20973
97	10098	20814
98	10178	20665
99	10251	20502
100	10332	20358
101	10406	20200
102	10478	20041
103	10546	19876
104	10613	19710
105	10691	19567
106	10780	19445
107	10873	19330
108	10955	19197
109	11032	19055
110	11111	18918
111	11181	18768
112	11253	18622
113	11327	18481
114	11396	18333
115	11468	18190
116	11542	18053
117	11612	17910
118	11679	17763
119	11753	17630
120	11834	17507
121	11918	17388
122	11983	17244
123	12064	17124
124	12142	16999
125	12226	16884
126	12301	16757
127	12378	16633
128	12447	16500
129	12529	16384
130	12602	16258
131	12684	16143
132	12761	16024
133	12851	15920
134	12941	15817
135	13037	15721
136	13113	15601
137	13187	15481
138	13253	15351
139	13331	15235
140	13406	15117
141	13477	14995
142	13558	14886
143	13640	14777
144	13713	14658
145	13780	14535
146	13846	14411
147	13928	14305
148	14011	14199
149	14120	14120
150	14219	14030
151	14295	13919
152	14364	13801
153	14445	13695
154	14524	13587
155	14601	13477
156	14673	13364
157	14746	13253
158	14816	13139
159	14902	13039
160	14985	12938
161	15053	12823
162	15133	12719
163	15220	12621
164	15297	12516
165	15370	12407
166	15447	12302
167	15532	12204
168	15606	12097
169	15700	12006
170	15794	11915
171	15864	11805
172	15948	11707
173	16015	11597
174	16100	11500
175	16203	11416
176	16491	11460
177	16589	11370
178	16670	11268
179	16751	11167
180	16822	11059
181	16895	10954
182	16971	10850
183	17057	10753
184	17140	10654
185	17214	10550
186	17297	10452
187	17374	10351
188	17458	10253
189	17549	10160
190	17630	10061
191	17722	9968
192	17802	9869
193	17895	9778
194	17967	9675
195	18055	9580
196	18136	9482
197	18823	9697
198	18938	9612
199	19025	9512
200	19134	9424
201	19229	9329
202	19331	9237
203	19424	9140
204	19502	9037
205	19603	8945
206	19695	8848
207	19789	8752
208	19901	8665
209	20003	8573
210	20093	8475
211	20171	8373
212	20256	8273
213	20350	8178
214	20445	8083
215	20539	7987
216	20623	7888
217	20724	7795
218	20837	7707
219	20948	7617
220	21066	7530
221	21159	7434
222	21255	7339
223	21340	7240
224	21431	7143
225	21506	7041
226	21588	6942
227	21687	6848
228	21786	6754
229	21868	6655
230	21966	6561
231	22056	6464
232	22164	6373
233	22269	6281
234	22354	6183
235	22448	6087
236	22538	5991
237	22626	5894
238	22710	5796
239	22801	5700
240	22891	5604
241	23013	5515
242	23093	5416
243	23181	5320
244	23281	5226
245	23372	5130
246	23464	5034
247	23550	4938
248	23642	4842
249	23724	4744
250	23809	4648
251	23907	4553
252	23998	4458
253	24090	4362
254	24178	4266
255	24266	4170
256	24381	4079
257	24474	3984
258	24565	3888
259	24656	3793
260	24743	3697
261	24827	3600
262	24932	3507
263	25020	3411
264	25107	3316
265	25188	3219
266	25286	3125
267	25369	3029
268	25470	2935
269	25556	2839
270	25649	2744
271	25738	2649
272	25821	2553
273	25905	2458
274	25991	2362
275	26116	2270
276	26205	2175
277	26306	2081
278	26457	1991
279	26554	1896
280	26652	1802
281	26742	1706
282	26837	1612
283	26918	1516
284	27003	1421
285	27087	1325
286	27179	1231
287	27283	1136
288	27370	1041
289	27454	946
290	27553	852
291	27676	758
292	27767	663
293	27853	568
294	27954	473
295	28039	378
296	28123	284
297	28222	189
298	28316	94
299	28395	0
